index,post_id,topic,topic_label,aspect,aspect_label,polarity,polarity_label,place,actors,facilities,cue,language,language_name,text
0,ai_datacenters_polarity_against_121,ai_datacenters,Increasing number of AI datacenters,economic,Economic,against,Against,rural Iowa,AI labs,black-start resilient bunkers,crowd out manufacturing that employs denser workforces,en,English,"This expansion is a bad deal. In rural Iowa, more black-start resilient bunkers from AI labs mostly crowd out manufacturing that employs denser workforces. That is a reason to resist the boom. No more blank checks."
1,ai_datacenters_polarity_neutral_086,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,suburban Phoenix,utility companies,edge AI pods,open-access quotas versus reserved enterprise capacity,en,English,"Still undecided on the AI datacenter wave. On suburban Phoenix, people argue about whether utility companies' edge AI pods help or hurt — especially open-access quotas versus reserved enterprise capacity. Tradeoffs first, slogans later."
2,ai_datacenters_polarity_against_278,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,against,Against,the UAE's free zones,colocation operators,GPU-dense halls,force ratepayers to bankroll private transmission,en,English,Against more AI datacenters in my book. Slowing GPU-dense halls near the UAE's free zones is justified when colocation operators force ratepayers to bankroll private transmission. No more blank checks.
3,ai_datacenters_polarity_against_199,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,against,Against,Japan's Tohoku rebuild zones,construction consortia,subsea-cable landing campuses,treat water as an infinite free input,en,English,Against more AI datacenters in my book. Slowing subsea-cable landing campuses near Japan's Tohoku rebuild zones is justified when construction consortia treat water as an infinite free input. Opposition is the responsible stance.
4,ai_datacenters_polarity_neutral_141,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,neutral,Neutral,Ireland's midlands,cloud providers,sovereign compute hubs,sovereign compute versus corporate capture,en,English,The buildout debate isn't settled for me. Re: sovereign compute hubs around Ireland's midlands — boosters and critics both cite sovereign compute versus corporate capture. No banner from me yet. Still collecting local data.
5,ai_datacenters_polarity_neutral_140,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,neutral,Neutral,upstate New York,state investment boards,AI training campuses,lifecycle emissions beyond campus fences,en,English,"Holding judgment on AI datacenter expansion. On upstate New York, people argue about whether state investment boards' AI training campuses help or hurt — especially lifecycle emissions beyond campus fences. I need receipts before choosing."
6,ai_datacenters_polarity_pro_239,ai_datacenters,Increasing number of AI datacenters,technological,Technological,pro,Pro,India's Hyderabad tech belt,energy traders,edge AI pods,push networking standards that cut idle capacity,en,English,"Pro take on India's Hyderabad tech belt: back the edge AI pods. When energy traders scale responsibly, they push networking standards that cut idle capacity. I'm for more AI datacenters. Approve the next round."
7,ai_datacenters_polarity_pro_135,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,pro,Pro,rural Iowa,sovereign wealth funds,sovereign compute hubs,replace dying extractive payrolls with steadier ones,en,English,"Pro take on rural Iowa: back the sovereign compute hubs. When sovereign wealth funds scale responsibly, they replace dying extractive payrolls with steadier ones. I'm for more AI datacenters. I'm here for the buildout."
8,ai_datacenters_polarity_neutral_146,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,neutral,Neutral,Canada's prairie provinces,colocation operators,AI training campuses,civic trust after rushed permit processes,en,English,"Neither booster nor blocker — still weighing it. On Canada's prairie provinces, people argue about whether colocation operators' AI training campuses help or hurt — especially civic trust after rushed permit processes. Show me cleaner evidence either way."
9,ai_datacenters_polarity_against_281,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,Gulf Coast industrial zones,energy traders,research supercomputer halls,centralize strategic compute in a few corporate hands,en,English,"I oppose the AI datacenter boom. In Gulf Coast industrial zones, more research supercomputer halls from energy traders mostly centralize strategic compute in a few corporate hands. That is a reason to resist the boom. Opposition is the responsible stance."
10,ai_datacenters_polarity_pro_287,ai_datacenters,Increasing number of AI datacenters,economic,Economic,pro,Pro,rural Iowa,telecom carriers,black-start resilient bunkers,stabilize municipal budgets after plant closures,en,English,"Greenlight the campuses. Don't slow-walk black-start resilient bunkers around rural Iowa. Done right by telecom carriers, the buildout will stabilize municipal budgets after plant closures. I'm here for the buildout."
11,ai_datacenters_polarity_neutral_114,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,neutral,Neutral,northern Italy's industrial belt,startup GPU cloud firms,nuclear-adjacent compute parks,lifecycle emissions beyond campus fences,en,English,Still undecided on the AI datacenter wave. Re: nuclear-adjacent compute parks around northern Italy's industrial belt — boosters and critics both cite lifecycle emissions beyond campus fences. No banner from me yet. Show me cleaner evidence either way.
12,ai_datacenters_polarity_neutral_182,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,neutral,Neutral,Ohio's Rust Belt towns,startup GPU cloud firms,nuclear-adjacent compute parks,whether locals get real veto power on siting,en,English,"Still undecided on the AI datacenter wave. On Ohio's Rust Belt towns, people argue about whether startup GPU cloud firms' nuclear-adjacent compute parks help or hurt — especially whether locals get real veto power on siting. Ask me again after the next rate case."
13,ai_datacenters_polarity_neutral_142,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,the Nordics,chipmakers,AI training campuses,utilization rates after the first training boom,en,English,"Neutral note on the Nordics: if chipmakers add more AI training campuses, I'm watching utilization rates after the first training boom before I cheer or protest. I need receipts before choosing."
14,ai_datacenters_polarity_against_270,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,South Korea's semiconductor belt,private equity funds,research supercomputer halls,race capacity without democratic oversight,en,English,This expansion is a bad deal. The South Korea's semiconductor belt story is clear enough: private equity funds' research supercomputer halls tend to race capacity without democratic oversight. I don't want more AI datacenters. No more blank checks.
15,ai_datacenters_polarity_against_245,ai_datacenters,Increasing number of AI datacenters,economic,Economic,against,Against,Singapore's industrial parks,utility companies,research supercomputer halls,crowd out manufacturing that employs denser workforces,en,English,We should block this buildout. The Singapore's industrial parks story is clear enough: utility companies' research supercomputer halls tend to crowd out manufacturing that employs denser workforces. I don't want more AI datacenters. Opposition is the responsible stance.
16,ai_datacenters_polarity_neutral_198,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,neutral,Neutral,Ohio's Rust Belt towns,colocation operators,AI training campuses,timeline realism for new transmission,en,English,"Neutral note on Ohio's Rust Belt towns: if colocation operators add more AI training campuses, I'm watching timeline realism for new transmission before I cheer or protest. I need receipts before choosing."
17,ai_datacenters_polarity_against_092,ai_datacenters,Increasing number of AI datacenters,technological,Technological,against,Against,suburban Phoenix,hyperscalers,modular container datacenters,waste cooling capacity on vanity cluster sizes,en,English,Hard no on endless AI datacenter expansion. Slowing modular container datacenters near suburban Phoenix is justified when hyperscalers waste cooling capacity on vanity cluster sizes. No more blank checks.
18,ai_datacenters_polarity_pro_024,ai_datacenters,Increasing number of AI datacenters,infrastructure,Infrastructure,pro,Pro,Finland's cold-climate parks,cloud providers,behind-the-meter solar campuses,underwrite fiber laterals to rural towns,en,English,This wave is worth backing. The case in Finland's cold-climate parks is straightforward: cloud providers' behind-the-meter solar campuses help underwrite fiber laterals to rural towns. AI datacenter growth is good policy here. Let's build.
19,ai_datacenters_polarity_against_031,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,against,Against,Morocco's Atlantic coast,regional economic-development agencies,sovereign compute hubs,spike Scope-2 emissions despite renewable marketing,en,English,"I oppose the AI datacenter boom. In Morocco's Atlantic coast, more sovereign compute hubs from regional economic-development agencies mostly spike Scope-2 emissions despite renewable marketing. That is a reason to resist the boom. No more blank checks."
20,ai_datacenters_polarity_neutral_170,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,neutral,Neutral,Gulf Coast industrial zones,chipmakers,nuclear-adjacent compute parks,sovereign compute versus corporate capture,en,English,The buildout debate isn't settled for me. Flagging nuclear-adjacent compute parks in Gulf Coast industrial zones without a verdict. The live issue is sovereign compute versus corporate capture. I need receipts before choosing.
21,ai_datacenters_polarity_against_276,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,Midwest farm counties,energy traders,edge AI pods,militarize civilian grids under dual-use cover,en,English,Against take on Midwest farm counties: block the next edge AI pods. Energy traders keep selling growth while they militarize civilian grids under dual-use cover. No more blank checks.
22,ai_datacenters_polarity_against_115,ai_datacenters,Increasing number of AI datacenters,economic,Economic,against,Against,the Nordics,private equity funds,modular container datacenters,"concentrate gains in remote shareholders, not locals",en,English,"This expansion is a bad deal. Slowing modular container datacenters near the Nordics is justified when private equity funds concentrate gains in remote shareholders, not locals. No more blank checks."
23,ai_datacenters_polarity_against_118,ai_datacenters,Increasing number of AI datacenters,environmental,Environmental,against,Against,Japan's Tohoku rebuild zones,colocation operators,AI training campuses,treat water as an infinite free input,en,English,Hard no on endless AI datacenter expansion. The Japan's Tohoku rebuild zones story is clear enough: colocation operators' AI training campuses tend to treat water as an infinite free input. I don't want more AI datacenters. Reject the next campus.
24,ai_datacenters_polarity_against_045,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,against,Against,Quebec's hydropower belt,telecom carriers,liquid-cooled clusters,centralize strategic compute in a few corporate hands,en,English,"We should block this buildout. In Quebec's hydropower belt, more liquid-cooled clusters from telecom carriers mostly centralize strategic compute in a few corporate hands. That is a reason to resist the boom. Opposition is the responsible stance."
25,ai_datacenters_polarity_against_027,ai_datacenters,Increasing number of AI datacenters,technological,Technological,against,Against,central Texas,colocation operators,sovereign compute hubs,overbuild GPU halls that sit half-idle after the hype,en,English,This expansion is a bad deal. Slowing sovereign compute hubs near central Texas is justified when colocation operators overbuild GPU halls that sit half-idle after the hype. Opposition is the responsible stance.
26,ai_datacenters_polarity_neutral_001,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,Canada's prairie provinces,national labs,edge AI pods,whether smaller distributed pods beat megacampuses,en,English,Still undecided on the AI datacenter wave. Re: edge AI pods around Canada's prairie provinces — boosters and critics both cite whether smaller distributed pods beat megacampuses. No banner from me yet. Show me cleaner evidence either way.
27,ai_datacenters_polarity_against_002,ai_datacenters,Increasing number of AI datacenters,local_community,Local community,against,Against,the UAE's free zones,energy traders,research supercomputer halls,buy silence with scholarships while rates climb,en,English,Hit the brakes on new campuses. The the UAE's free zones story is clear enough: energy traders' research supercomputer halls tend to buy silence with scholarships while rates climb. I don't want more AI datacenters. Enough is enough.
28,ai_datacenters_polarity_pro_258,ai_datacenters,Increasing number of AI datacenters,geopolitical,Geopolitical,pro,Pro,eastern Oregon,chipmakers,GPU-dense halls,keep frontier training capacity on allied soil,en,English,"Pro take on eastern Oregon: back the GPU-dense halls. When chipmakers scale responsibly, they keep frontier training capacity on allied soil. I'm for more AI datacenters. Capacity is policy."
29,ai_datacenters_polarity_pro_075,ai_datacenters,Increasing number of AI datacenters,economic,Economic,pro,Pro,Brazil's São Paulo hinterland,REIT-backed campus developers,edge AI pods,stabilize municipal budgets after plant closures,en,English,"Pro-expansion here. In Brazil's São Paulo hinterland, more edge AI pods from REIT-backed campus developers can stabilize municipal budgets after plant closures. That is why I support the expansion. Approve the next round."
30,ai_datacenters_polarity_neutral_123,ai_datacenters,Increasing number of AI datacenters,economic,Economic,neutral,Neutral,South Korea's semiconductor belt,defense contractors,multi-gigawatt campuses,whether tax base gains outlast construction payrolls,en,English,The buildout debate isn't settled for me. Flagging multi-gigawatt campuses in South Korea's semiconductor belt without a verdict. The live issue is whether tax base gains outlast construction payrolls. Show me cleaner evidence either way.
31,ai_datacenters_polarity_against_096,ai_datacenters,Increasing number of AI datacenters,technological,Technological,against,Against,Gulf Coast industrial zones,national labs,behind-the-meter solar campuses,overbuild GPU halls that sit half-idle after the hype,en,English,We should block this buildout. Slowing behind-the-meter solar campuses near Gulf Coast industrial zones is justified when national labs overbuild GPU halls that sit half-idle after the hype. Protect the commons first.
32,ai_datacenters_polarity_neutral_147,ai_datacenters,Increasing number of AI datacenters,technological,Technological,neutral,Neutral,South Korea's semiconductor belt,construction consortia,research supercomputer halls,whether smaller distributed pods beat megacampuses,en,English,"Not picking a side on more campuses yet. On South Korea's semiconductor belt, people argue about whether construction consortia' research supercomputer halls help or hurt — especially whether smaller distributed pods beat megacampuses. Still collecting local data."
