user_id,profile_id,profile_label,n_posts,w0,w1,w2,gt_w0,gt_w1,gt_w2,assignment_type,topic_distribution,empirical_topic_distribution
user_0001,coding_heavy,Mostly AI coding innovations,100,0.6307139613656877,0.17388961825104654,0.19539642038326568,0.79,0.1,0.11,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.79, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.11}"
user_0002,copyright_heavy,Mostly AI copyright / theft concerns,100,0.2871471173921171,0.49531948052642455,0.2175334020814583,0.14,0.76,0.1,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.14, ""ai_copyright_theft"": 0.76, ""ai_mass_surveillance"": 0.1}"
user_0003,surveillance_heavy,Mostly AI mass surveillance,100,0.26685099673496365,0.1828946696641036,0.5502543336009328,0.1,0.11,0.79,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.11, ""ai_mass_surveillance"": 0.79}"
user_0004,balanced,Even across all topics,100,0.3772449861147182,0.31630574700728736,0.30644926687799456,0.31,0.39,0.3,soft,"{""ai_coding_innovations"": 0.333333, ""ai_copyright_theft"": 0.333333, ""ai_mass_surveillance"": 0.333334}","{""ai_coding_innovations"": 0.31, ""ai_copyright_theft"": 0.39, ""ai_mass_surveillance"": 0.3}"
user_0005,coding_copyright,Split: coding + copyright,100,0.4140102985124522,0.3736035106840358,0.21238619080351206,0.38,0.51,0.11,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.38, ""ai_copyright_theft"": 0.51, ""ai_mass_surveillance"": 0.11}"
user_0006,coding_surveillance,Split: coding + surveillance,100,0.4040154447253633,0.157262646366842,0.4387219089077946,0.36,0.06,0.58,soft,"{""ai_coding_innovations"": 0.45, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.36, ""ai_copyright_theft"": 0.06, ""ai_mass_surveillance"": 0.58}"
user_0007,copyright_surveillance,Split: copyright + surveillance,100,0.25598592979222146,0.3080834518195799,0.4359306183881986,0.08,0.37,0.55,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.45, ""ai_mass_surveillance"": 0.45}","{""ai_coding_innovations"": 0.08, ""ai_copyright_theft"": 0.37, ""ai_mass_surveillance"": 0.55}"
user_0008,coding_heavy,Mostly AI coding innovations,100,0.6412971282720914,0.1593372004458718,0.19936567128203686,0.81,0.07,0.12,soft,"{""ai_coding_innovations"": 0.8, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.81, ""ai_copyright_theft"": 0.07, ""ai_mass_surveillance"": 0.12}"
user_0009,copyright_heavy,Mostly AI copyright / theft concerns,100,0.26599304010262875,0.5196140394258916,0.2143929204714797,0.1,0.81,0.09,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.8, ""ai_mass_surveillance"": 0.1}","{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.81, ""ai_mass_surveillance"": 0.09}"
user_0010,surveillance_heavy,Mostly AI mass surveillance,100,0.277360624501453,0.19720391212422483,0.5254354633743222,0.12,0.14,0.74,soft,"{""ai_coding_innovations"": 0.1, ""ai_copyright_theft"": 0.1, ""ai_mass_surveillance"": 0.8}","{""ai_coding_innovations"": 0.12, ""ai_copyright_theft"": 0.14, ""ai_mass_surveillance"": 0.74}"
